sistemaFuenteAtg|idatg|nombres|apellidoPaterno|apellidoMaterno|genero|fechaDeNacimiento|rfc|registrationDate|nombreDestinatario|apellidoPaternoDestintario|apellidoMaternoDestinatario|realmId|idFacebook|idApple|sistemaOperativoDelDispositivo|email|emailNotificaciones|telefonoCasa|telefonoCelular|telefonoTrabajo|telefonoAdicional|tipoDeDireccion|calle|numeroExterior|numeroInterior|edificio|estado|municipio|colonia|codigoPostal|aliasDeLaDireccion|bajaDeDomicilio|idDireccionAtg|tarjetaHash|tipoTarjeta|bajaDeTarjeta|altaDeTarjeta
ATG|666000001|TESTBATCHUSR_1|LASTNAME_BATCHUSR_1|SLASTNAME_BATCHUSR_1|M|1993-03-22|COLJ979797XXX|2022-06-17|EMPTY |NOT NEDEED||Liverpool||||batchatgtest_666000001@liver.com|batchatgtest_666000001@liver.com|55666000001|56666000001|||B|TEST_STREET OF 01|1|||Ciudad de México|MIGUEL HIDALGO|TEST_COLONIA 66|66666|||354000000000    |4180000000000000000    |LPC||X
ATG|666000002|TESTBATCHUSR_2|LASTNAME_BATCHUSR_2|SLASTNAME_BATCHUSR_2|F|1993-03-22|COLJ979797XXX|2022-06-17|EMPTY |NOT NEDEED||Liverpool||||batchatgtest_666000002@liver.com|batchatgtest_666000002@liver.com|55666000002|56666000002|||A|TEST_STREET OF 02|2|||Ciudad de México|MIGUEL HIDALGO|TEST_COLONIA 67|66666|||354000000000    |4180000000000000000    |LPC||X
ATG|666000003|TESTBATCHUSR_3|LASTNAME_BATCHUSR_3|SLASTNAME_BATCHUSR_3|M|1993-03-22|COLJ979797XXX|2022-06-17|EMPTY |NOT NEDEED||Liverpool||||batchatgtest_666000003@liver.com|batchatgtest_666000003@liver.com|55666000003|56666000003|||C|TEST_STREET OF 03|3|||Ciudad de México|MIGUEL HIDALGO|TEST_COLONIA 68|66666|||354000000000    |4180000000000000000    |LPC||X
ATG|666000004|TESTBATCHUSR_4|LASTNAME_BATCHUSR_4|SLASTNAME_BATCHUSR_4|F|1993-03-22|COLJ979797XXX|2022-06-17|EMPTY |NOT NEDEED||Liverpool||||batchatgtest_666000004@liver.com|batchatgtest_666000004@liver.com|55666000004|56666000004|||B|TEST_STREET OF 04|4|||Ciudad de México|MIGUEL HIDALGO|TEST_COLONIA 69|66666|||354000000000    |4180000000000000000    |LPC||X
ATG|666000005|TESTBATCHUSR_5|LASTNAME_BATCHUSR_5|SLASTNAME_BATCHUSR_5|M|1993-03-22|COLJ979797XXX|2022-06-17|EMPTY |NOT NEDEED||Liverpool||||batchatgtest_666000005@liver.com|batchatgtest_666000005@liver.com|55666000005|56666000005|||A|TEST_STREET OF 05|5|||Ciudad de México|MIGUEL HIDALGO|TEST_COLONIA 70|66666|||354000000000    |4180000000000000000    |LPC||X
ATG|666000006|TESTBATCHUSR_6|LASTNAME_BATCHUSR_6|SLASTNAME_BATCHUSR_6|F|1993-03-22|COLJ979797XXX|2022-06-17|EMPTY |NOT NEDEED||Liverpool||||batchatgtest_666000006@liver.com|batchatgtest_666000006@liver.com|55666000006|56666000006|||C|TEST_STREET OF 06|6|||Ciudad de México|MIGUEL HIDALGO|TEST_COLONIA 71|66666|||354000000000    |4180000000000000000    |LPC||X
ATG|666000007|TESTBATCHUSR_7|LASTNAME_BATCHUSR_7|SLASTNAME_BATCHUSR_7|M|1993-03-22|COLJ979797XXX|2022-06-17|EMPTY |NOT NEDEED||Liverpool||||batchatgtest_666000007@liver.com|batchatgtest_666000007@liver.com|55666000007|56666000007|||B|TEST_STREET OF 07|7|||Ciudad de México|MIGUEL HIDALGO|TEST_COLONIA 72|66666|||354000000000    |4180000000000000000    |LPC||X
ATG|666000008|TESTBATCHUSR_8|LASTNAME_BATCHUSR_8|SLASTNAME_BATCHUSR_8|F|1993-03-22|COLJ979797XXX|2022-06-17|EMPTY |NOT NEDEED||Liverpool||||batchatgtest_666000008@liver.com|batchatgtest_666000008@liver.com|55666000008|56666000008|||A|TEST_STREET OF 08|8|||Ciudad de México|MIGUEL HIDALGO|TEST_COLONIA 73|66666|||354000000000    |4180000000000000000    |LPC||X
ATG|666000009|TESTBATCHUSR_9|LASTNAME_BATCHUSR_9|SLASTNAME_BATCHUSR_9|M|1993-03-22|COLJ979797XXX|2022-06-17|EMPTY |NOT NEDEED||Liverpool||||batchatgtest_666000009@liver.com|batchatgtest_666000009@liver.com|55666000009|56666000009|||C|TEST_STREET OF 09|9|||Ciudad de México|MIGUEL HIDALGO|TEST_COLONIA 74|66666|||354000000000    |4180000000000000000    |LPC||X
ATG|666000010|TESTBATCHUSR_10|LASTNAME_BATCHUSR_10|SLASTNAME_BATCHUSR_10|F|1993-03-22|COLJ979797XXX|2022-06-17|EMPTY |NOT NEDEED||Liverpool||||batchatgtest_666000010@liver.com|batchatgtest_666000010@liver.com|55666000010|56666000010|||B|TEST_STREET OF 10|10|||Ciudad de México|MIGUEL HIDALGO|TEST_COLONIA 75|66666|||354000000000    |4180000000000000000    |LPC||X
ATG|666000011|TESTBATCHUSR_11|LASTNAME_BATCHUSR_11|SLASTNAME_BATCHUSR_11|M|1993-03-22|COLJ979797XXX|2022-06-17|EMPTY |NOT NEDEED||Liverpool||||batchatgtest_666000011@liver.com|batchatgtest_666000011@liver.com|55666000011|56666000011|||A|TEST_STREET OF 11|11|||Ciudad de México|MIGUEL HIDALGO|TEST_COLONIA 76|66666|||354000000000    |4180000000000000000    |LPC||X
ATG|666000012|TESTBATCHUSR_12|LASTNAME_BATCHUSR_12|SLASTNAME_BATCHUSR_12|F|1993-03-22|COLJ979797XXX|2022-06-17|EMPTY |NOT NEDEED||Liverpool||||batchatgtest_666000012@liver.com|batchatgtest_666000012@liver.com|55666000012|56666000012|||C|TEST_STREET OF 12|12|||Ciudad de México|MIGUEL HIDALGO|TEST_COLONIA 77|66666|||354000000000    |4180000000000000000    |LPC||X
ATG|666000013|TESTBATCHUSR_13|LASTNAME_BATCHUSR_13|SLASTNAME_BATCHUSR_13|M|1993-03-22|COLJ979797XXX|2022-06-17|EMPTY |NOT NEDEED||Liverpool||||batchatgtest_666000013@liver.com|batchatgtest_666000013@liver.com|55666000013|56666000013|||B|TEST_STREET OF 13|13|||Ciudad de México|MIGUEL HIDALGO|TEST_COLONIA 78|66666|||354000000000    |4180000000000000000    |LPC||X
ATG|666000014|TESTBATCHUSR_14|LASTNAME_BATCHUSR_14|SLASTNAME_BATCHUSR_14|F|1993-03-22|COLJ979797XXX|2022-06-17|EMPTY |NOT NEDEED||Liverpool||||batchatgtest_666000014@liver.com|batchatgtest_666000014@liver.com|55666000014|56666000014|||A|TEST_STREET OF 14|14|||Ciudad de México|MIGUEL HIDALGO|TEST_COLONIA 79|66666|||354000000000    |4180000000000000000    |LPC||X
ATG|666000015|TESTBATCHUSR_15|LASTNAME_BATCHUSR_15|SLASTNAME_BATCHUSR_15|M|1993-03-22|COLJ979797XXX|2022-06-17|EMPTY |NOT NEDEED||Liverpool||||batchatgtest_666000015@liver.com|batchatgtest_666000015@liver.com|55666000015|56666000015|||C|TEST_STREET OF 15|15|||Ciudad de México|MIGUEL HIDALGO|TEST_COLONIA 80|66666|||354000000000    |4180000000000000000    |LPC||X
ATG|666000016|TESTBATCHUSR_16|LASTNAME_BATCHUSR_16|SLASTNAME_BATCHUSR_16|F|1993-03-22|COLJ979797XXX|2022-06-17|EMPTY |NOT NEDEED||Liverpool||||batchatgtest_666000016@liver.com|batchatgtest_666000016@liver.com|55666000016|56666000016|||B|TEST_STREET OF 16|16|||Ciudad de México|MIGUEL HIDALGO|TEST_COLONIA 81|66666|||354000000000    |4180000000000000000    |LPC||X
ATG|666000017|TESTBATCHUSR_17|LASTNAME_BATCHUSR_17|SLASTNAME_BATCHUSR_17|M|1993-03-22|COLJ979797XXX|2022-06-17|EMPTY |NOT NEDEED||Liverpool||||batchatgtest_666000017@liver.com|batchatgtest_666000017@liver.com|55666000017|56666000017|||A|TEST_STREET OF 17|17|||Ciudad de México|MIGUEL HIDALGO|TEST_COLONIA 82|66666|||354000000000    |4180000000000000000    |LPC||X
ATG|666000018|TESTBATCHUSR_18|LASTNAME_BATCHUSR_18|SLASTNAME_BATCHUSR_18|F|1993-03-22|COLJ979797XXX|2022-06-17|EMPTY |NOT NEDEED||Liverpool||||batchatgtest_666000018@liver.com|batchatgtest_666000018@liver.com|55666000018|56666000018|||C|TEST_STREET OF 18|18|||Ciudad de México|MIGUEL HIDALGO|TEST_COLONIA 83|66666|||354000000000    |4180000000000000000    |LPC||X
ATG|666000019|TESTBATCHUSR_19|LASTNAME_BATCHUSR_19|SLASTNAME_BATCHUSR_19|M|1993-03-22|COLJ979797XXX|2022-06-17|EMPTY |NOT NEDEED||Liverpool||||batchatgtest_666000019@liver.com|batchatgtest_666000019@liver.com|55666000019|56666000019|||B|TEST_STREET OF 19|19|||Ciudad de México|MIGUEL HIDALGO|TEST_COLONIA 84|66666|||354000000000    |4180000000000000000    |LPC||X
